timestamp,target_type,target_name,target_index,target_distance,target_bearing,distance,motion_ready,motion_sample_count,reversal_hold_remaining,enemy_velocity_x,enemy_velocity_z,enemy_speed,enemy_accel_x,enemy_accel_z,enemy_accel,intercept_solver,predicted_control_time,predicted_yaw_control_time,predicted_pitch_control_time,target_angle_rate_deg_s,yaw_closing_rate_deg_s,predicted_flight_time,flight_time_correction_factor,predicted_total_intercept_time,lead_distance,player_turret_pitch,desired_pitch,pitch_error,pitch_tolerance,turret_rf_command,turret_rf_weight,turret_error,turret_error_rate,turret_pd_effort_raw,turret_pd_effort,predicted_turret_yaw_rate,body_equivalent_turret_weight,turret_qe_command,turret_qe_weight,body_error,body_signed_effort,predicted_body_yaw_rate,body_coarse_turn_enabled,pitch_signed_effort,predicted_pitch_rate,move_ad_command,move_ad_weight,aim_aligned,predictive_aim_aligned,fire_alignment_ready,predictive_fire_lookahead_seconds,predicted_turret_error_at_fire,predicted_pitch_error_at_fire,spawn_arm_ready,aim_stable_ready,fire
2026-06-24T16:10:49.726,moving_enemy,EnemyTank,0,118.97069447583077,,119.42,True,40,0.0,1.664,0.0029,1.664,-0.0059,-0.0001,0.0059,iterative_p_vt_half_at2,0.1647,0.1372,0.0,0.7919,23.3246,2.082,1.06,2.4667,4.0868,9.36,9.29,-0.07,0.2344,STOP,0.0,3.2,-0.062,0.0168,0.0168,0.732,0.0,E,0.017,7.91,0.0,0.0,False,0.0,0.0,STOP,0.0,False,False,False,0.18,3.069,-0.068,True,False,False
2026-06-24T16:10:50.287,moving_enemy,EnemyTank,0,119.05635372537107,,119.54,True,41,0.0,1.6628,0.003,1.6628,-0.0061,-0.0,0.0061,iterative_p_vt_half_at2,0.1674,0.1395,0.0,0.7898,23.3881,2.0844,1.06,2.4718,4.0914,9.36,9.3,-0.06,0.2344,STOP,0.0,3.26,0.109,0.0175,-0.0103,0.761,0.0278,Q,0.01,8.33,0.0325,1.211,True,0.0,0.0,D,0.033,False,False,False,0.18,3.125,-0.064,True,False,False
2026-06-24T16:10:50.867,moving_enemy,EnemyTank,0,119.14865712256726,,119.66,True,42,0.0,1.6637,0.0029,1.6637,-0.0034,-0.0001,0.0034,iterative_p_vt_half_at2,0.1704,0.142,0.0,0.7886,23.4124,2.0871,1.06,2.4775,4.1114,9.36,9.32,-0.04,0.2346,STOP,0.0,3.32,0.108,0.0178,-0.0105,0.776,0.0284,Q,0.011,8.49,0.0331,1.234,True,0.0,0.0,D,0.033,False,False,False,0.18,3.185,-0.041,True,False,False
2026-06-24T16:10:51.452,moving_enemy,EnemyTank,0,119.24720993526944,,119.8,True,43,0.0,1.6694,0.0031,1.6694,0.0053,0.0001,0.0053,iterative_p_vt_half_at2,0.1686,0.1405,0.0,0.7895,23.3734,2.0899,1.06,2.4784,4.1538,9.36,9.33,-0.04,0.2347,STOP,0.0,3.28,-0.071,0.0173,-0.0102,0.751,0.0275,Q,0.01,8.23,0.0321,1.196,True,0.0,0.0,D,0.032,False,False,False,0.18,3.148,-0.036,True,False,False
2026-06-24T16:10:52.000,moving_enemy,EnemyTank,0,119.35239940090466,,119.93,True,44,0.0,1.6712,0.003,1.6712,0.0064,0.0,0.0064,iterative_p_vt_half_at2,0.1665,0.1388,0.0,0.7885,23.3348,2.0928,1.06,2.4793,4.163,9.36,9.35,-0.02,0.2348,STOP,0.0,3.24,-0.083,0.017,0.017,0.739,0.0,E,0.017,7.96,0.0,0.0,False,0.0,0.0,STOP,0.0,False,False,False,0.18,3.105,-0.016,True,False,False
2026-06-24T16:10:52.571,moving_enemy,EnemyTank,0,119.46325997697225,,120.06,True,45,0.0,1.6637,0.0029,1.6637,-0.0053,-0.0001,0.0053,iterative_p_vt_half_at2,0.1612,0.1343,0.0,0.7833,23.3132,2.0953,1.06,2.4765,4.1041,9.36,9.35,-0.01,0.2349,STOP,0.0,3.13,-0.186,0.0162,0.0162,0.706,0.0,E,0.016,7.77,0.0,0.0,False,0.0,0.0,STOP,0.0,False,False,False,0.18,3.005,-0.011,True,False,False
2026-06-24T16:10:53.142,moving_enemy,EnemyTank,0,119.58080438446017,,120.21,True,46,0.0,1.6578,0.003,1.6578,-0.0118,-0.0,0.0118,iterative_p_vt_half_at2,0.163,0.1359,0.0,0.7787,23.3762,2.0979,1.06,2.4809,4.0768,9.36,9.37,0.01,0.235,STOP,0.0,3.18,0.077,0.017,-0.0103,0.739,0.0273,Q,0.01,8.18,0.0319,1.188,True,0.0,0.0,D,0.032,False,False,False,0.18,3.043,0.009,True,False,False
2026-06-24T16:10:53.711,moving_enemy,EnemyTank,0,119.70489465428508,,120.38,True,47,0.0,1.669,0.003,1.669,0.0065,0.0,0.0065,iterative_p_vt_half_at2,0.1711,0.1426,0.0,0.7817,23.4402,2.1009,1.06,2.492,4.1795,9.36,9.37,0.01,0.235,STOP,0.0,3.34,0.292,0.0183,-0.0106,0.796,0.0289,Q,0.011,8.64,0.0337,1.255,True,0.0,0.0,D,0.034,False,False,False,0.18,3.199,0.012,True,False,False
2026-06-24T16:10:54.288,moving_enemy,EnemyTank,0,119.97319852567286,,120.7,True,49,0.0,1.6665,0.0031,1.6665,0.0015,0.0001,0.0015,iterative_p_vt_half_at2,0.1646,0.1372,0.0,0.7763,23.3609,2.1067,1.06,2.4914,4.1566,9.36,9.4,0.04,0.235,STOP,0.0,3.2,-0.237,0.0165,-0.0104,0.718,0.0269,Q,0.01,8.05,0.0314,1.17,True,0.0,0.0,D,0.031,False,False,False,0.18,3.076,0.039,True,False,False
2026-06-24T16:10:54.859,moving_enemy,EnemyTank,0,120.11716687642769,,120.87,True,50,0.0,1.6618,0.0029,1.6618,-0.005,-0.0001,0.005,iterative_p_vt_half_at2,0.1619,0.1349,0.0,0.772,23.3256,2.1098,1.06,2.4917,4.1252,9.36,9.42,0.06,0.2351,STOP,0.0,3.15,-0.1,0.0165,0.0165,0.717,0.0,E,0.016,7.78,0.0,0.0,False,0.0,0.0,STOP,0.0,False,False,False,0.18,3.019,0.062,True,False,False
